2025-07-21 13:20:24,791 3055876 INFO [PRETRAINED] Using pretrained model path: ppo_pushing_sb3/final_model.zip
2025-07-21 13:20:24,792 3055876 INFO Starting with 7 interventions
2025-07-21 13:20:24,792 3055876 INFO ===final evaluation===
2025-07-21 13:20:36,855 3055876 INFO Final performance
2025-07-21 13:20:36,855 3055876 INFO average reward: 3.394 +/- 0.000
2025-07-21 13:20:36,855 3055876 INFO success rate: 1.000
2025-07-21 13:20:36,855 3055876 INFO average episode length: 501.0
2025-07-21 13:20:36,856 3055876 INFO initial performance: {'avg_reward': 3.393721938342554, 'reward_std': 4.440892098500626e-16, 'avg_length': 501.0, 'success_rate': 1.0, 'total_episodes': 10}
2025-07-21 13:20:36,856 3055876 INFO CURRICULUM STAGE 1/7
2025-07-21 13:20:36,856 3055876 INFO Remaining interventions: ['goal', 'mass', 'friction', 'visual', 'position', 'angle', 'random']
2025-07-21 13:20:36,856 3055876 INFO Randomly selected intervention: random
2025-07-21 13:20:36,856 3055876 INFO === stage 1/7: training on random intervention ===
Logging to random_sequencing_logs/sb3_csv_logs_1_random
IntervenedCausalWorld created with random intervention
Reset #1: random intervention applied (success: True)
Reset #2: random intervention applied (success: True)
Reset #3: random intervention applied (success: True)
------------------------------------
| custom/              |           |
|    ep_rew_mean          | 1.7642426 |
| time/                   |           |
|    fps                  | 177       |
|    iterations           | 6         |
|    time_elapsed         | 138       |
|    total_timesteps      | 5070848   |
| train/                  |           |
|    approx_kl            | 0.0411368 |
|    clip_fraction        | 0.463     |
|    clip_range           | 0.2       |
|    entropy_loss         | -22.2     |
|    explained_variance   | 0.678     |
|    learning_rate        | 0.00025   |
|    loss                 | -0.522    |
|    n_updates            | 1230      |
|    policy_gradient_loss | -0.0901   |
|    std                  | 2.86      |
|    value_loss           | 0.0648    |
---------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | random      |
|    stage                | 1           |
| rollout/                |             |
|    ep_len_mean          | 382         |
|    ep_rew_mean          | 1.7214574   |
| time/                   |             |
|    fps                  | 175         |
|    iterations           | 7           |
|    time_elapsed         | 163         |
|    total_timesteps      | 5074944     |
| train/                  |             |
|    approx_kl            | 0.051021874 |
|    clip_fraction        | 0.531       |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.3       |
|    explained_variance   | 0.437       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.52       |
|    n_updates            | 1245        |
|    policy_gradient_loss | -0.0846     |
|    std                  | 2.91        |
|    value_loss           | 0.0965      |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | random     |
|    stage                | 1          |
| rollout/                |            |
|    ep_len_mean          | 400        |
|    ep_rew_mean          | 1.5748848  |
| time/                   |            |
|    fps                  | 173        |
|    iterations           | 8          |
|    time_elapsed         | 188        |
|    total_timesteps      | 5079040    |
| train/                  |            |
|    approx_kl            | 0.08102546 |
|    clip_fraction        | 0.598      |
|    clip_range           | 0.2        |
|    entropy_loss         | -22.5      |
|    explained_variance   | 0.486      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.542     |
|    n_updates            | 1260       |
|    policy_gradient_loss | -0.0913    |
|    std                  | 2.96       |
|    value_loss           | 0.129      |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | random     |
|    stage                | 1          |
| rollout/                |            |
|    ep_len_mean          | 420        |
|    ep_rew_mean          | 1.4576712  |
| time/                   |            |
|    fps                  | 172        |
|    iterations           | 9          |
|    time_elapsed         | 213        |
|    total_timesteps      | 5083136    |
| train/                  |            |
|    approx_kl            | 0.03957784 |
|    clip_fraction        | 0.465      |
|    clip_range           | 0.2        |
|    entropy_loss         | -22.6      |
|    explained_variance   | 0.668      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.537     |
|    n_updates            | 1275       |
|    policy_gradient_loss | -0.0924    |
|    std                  | 2.98       |
|    value_loss           | 0.0578     |
----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | random      |
|    stage                | 1           |
| rollout/                |             |
|    ep_len_mean          | 440         |
|    ep_rew_mean          | 1.3762034   |
| time/                   |             |
|    fps                  | 171         |
|    iterations           | 10          |
|    time_elapsed         | 239         |
|    total_timesteps      | 5087232     |
| train/                  |             |
|    approx_kl            | 0.050730415 |
|    clip_fraction        | 0.538       |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.6       |
|    explained_variance   | 0.604       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.568      |
|    n_updates            | 1290        |
|    policy_gradient_loss | -0.105      |
|    std                  | 3           |
|    value_loss           | 0.039       |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | random     |
|    stage                | 1          |
| rollout/                |            |
|    ep_len_mean          | 458        |
|    ep_rew_mean          | 1.2981023  |
| time/                   |            |
|    fps                  | 170        |
|    iterations           | 11         |
|    time_elapsed         | 264        |
|    total_timesteps      | 5091328    |
| train/                  |            |
|    approx_kl            | 0.04173594 |
|    clip_fraction        | 0.482      |
|    clip_range           | 0.2        |
|    entropy_loss         | -22.7      |
|    explained_variance   | 0.711      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.564     |
|    n_updates            | 1305       |
|    policy_gradient_loss | -0.0951    |
|    std                  | 3.03       |
|    value_loss           | 0.0494     |
----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | random      |
|    stage                | 1           |
| rollout/                |             |
|    ep_len_mean          | 460         |
|    ep_rew_mean          | 1.0735073   |
| time/                   |             |
|    fps                  | 170         |
|    iterations           | 12          |
|    time_elapsed         | 289         |
|    total_timesteps      | 5095424     |
| train/                  |             |
|    approx_kl            | 0.048470315 |
|    clip_fraction        | 0.539       |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.8       |
|    explained_variance   | 0.518       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.564      |
|    n_updates            | 1320        |
|    policy_gradient_loss | -0.0971     |
|    std                  | 3.07        |
|    value_loss           | 0.043       |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | random     |
|    stage                | 1          |
| rollout/                |            |
|    ep_len_mean          | 465        |
|    ep_rew_mean          | 1.158713   |
| time/                   |            |
|    fps                  | 171        |
|    iterations           | 13         |
|    time_elapsed         | 311        |
|    total_timesteps      | 5099520    |
| train/                  |            |
|    approx_kl            | 0.06387389 |
|    clip_fraction        | 0.575      |
|    clip_range           | 0.2        |
|    entropy_loss         | -22.9      |
|    explained_variance   | 0.615      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.563     |
|    n_updates            | 1335       |
|    policy_gradient_loss | -0.106     |
|    std                  | 3.1        |
|    value_loss           | 0.0298     |
----------------------------------------
2025-07-21 13:26:00,762 3055876 INFO model saved to random_sequencing_logs/model_stage_1_random
2025-07-21 13:26:00,764 3055876 INFO
Completed stage 1. Intervention 'random' removed from list.
2025-07-21 13:26:00,764 3055876 INFO Remaining interventions: 6
2025-07-21 13:26:00,764 3055876 INFO CURRICULUM STAGE 2/7
2025-07-21 13:26:00,764 3055876 INFO Remaining interventions: ['goal', 'mass', 'friction', 'visual', 'position', 'angle']
2025-07-21 13:26:00,764 3055876 INFO Randomly selected intervention: visual
2025-07-21 13:26:00,765 3055876 INFO === stage 2/7: training on visual intervention ===
Logging to random_sequencing_logs/sb3_csv_logs_2_visual
IntervenedCausalWorld created with visual intervention
Reset #1: visual intervention applied (success: True)
Reset #2: visual intervention applied (success: True)
Reset #3: visual intervention applied (success: True)
------------------------------------
| custom/              |           |
|    intervention_type | visual    |
|    stage             | 2         |
| rollout/             |           |
|    ep_len_mean       | 442       |
|    ep_rew_mean       | 1.1823562 |
| time/                |           |
|    fps               | 358       |
|    iterations        | 1         |
|    time_elapsed      | 11        |
|    total_timesteps   | 5103616   |
------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | visual      |
|    stage                | 2           |
| rollout/                |             |
|    ep_len_mean          | 391         |
|    ep_rew_mean          | 0.92939097  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 2           |
|    time_elapsed         | 37          |
|    total_timesteps      | 5107712     |
| train/                  |             |
|    approx_kl            | 0.044038557 |
|    clip_fraction        | 0.483       |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.2       |
|    explained_variance   | 0.127       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.563      |
|    n_updates            | 1365        |
|    policy_gradient_loss | -0.0922     |
|    std                  | 3.19        |
|    value_loss           | 0.0399      |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | visual     |
|    stage                | 2          |
| rollout/                |            |
|    ep_len_mean          | 364        |
|    ep_rew_mean          | 0.88599265 |
| time/                   |            |
|    fps                  | 193        |
|    iterations           | 3          |
|    time_elapsed         | 63         |
|    total_timesteps      | 5111808    |
| train/                  |            |
|    approx_kl            | 0.06304462 |
|    clip_fraction        | 0.553      |
|    clip_range           | 0.2        |
|    entropy_loss         | -23.3      |
|    explained_variance   | 0.529      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.579     |
|    n_updates            | 1380       |
|    policy_gradient_loss | -0.105     |
|    std                  | 3.22       |
|    value_loss           | 0.0441     |
----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | visual      |
|    stage                | 2           |
| rollout/                |             |
|    ep_len_mean          | 344         |
|    ep_rew_mean          | 0.93944     |
| time/                   |             |
|    fps                  | 183         |
|    iterations           | 4           |
|    time_elapsed         | 89          |
|    total_timesteps      | 5115904     |
| train/                  |             |
|    approx_kl            | 0.059825007 |
|    clip_fraction        | 0.558       |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.4       |
|    explained_variance   | 0.449       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.577      |
|    n_updates            | 1395        |
|    policy_gradient_loss | -0.108      |
|    std                  | 3.25        |
|    value_loss           | 0.0311      |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | visual     |
|    stage                | 2          |
| rollout/                |            |
|    ep_len_mean          | 330        |
|    ep_rew_mean          | 0.96675277 |
| time/                   |            |
|    fps                  | 177        |
|    iterations           | 5          |
|    time_elapsed         | 115        |
|    total_timesteps      | 5120000    |
| train/                  |            |
|    approx_kl            | 0.06278717 |
|    clip_fraction        | 0.551      |
|    clip_range           | 0.2        |
|    entropy_loss         | -23.4      |
|    explained_variance   | 0.53       |
|    learning_rate        | 0.00025    |
|    loss                 | -0.576     |
|    n_updates            | 1410       |
|    policy_gradient_loss | -0.105     |
|    std                  | 3.28       |
|    value_loss           | 0.0438     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | visual     |
|    stage                | 2          |
| rollout/                |            |
|    ep_len_mean          | 303        |
|    ep_rew_mean          | 1.04264    |
| time/                   |            |
|    fps                  | 173        |
|    iterations           | 6          |
|    time_elapsed         | 141        |
|    total_timesteps      | 5124096    |
| train/                  |            |
|    approx_kl            | 0.05074637 |
|    clip_fraction        | 0.51       |
|    clip_range           | 0.2        |
|    entropy_loss         | -23.5      |
|    explained_variance   | 0.655      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.57      |
|    n_updates            | 1425       |
|    policy_gradient_loss | -0.0912    |
|    std                  | 3.31       |
|    value_loss           | 0.0543     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | visual     |
|    stage                | 2          |
| rollout/                |            |
|    ep_len_mean          | 296        |
|    ep_rew_mean          | 1.2171383  |
| time/                   |            |
|    fps                  | 171        |
|    iterations           | 7          |
|    time_elapsed         | 167        |
|    total_timesteps      | 5128192    |
| train/                  |            |
|    approx_kl            | 0.06047447 |
|    clip_fraction        | 0.576      |
|    clip_range           | 0.2        |
|    entropy_loss         | -23.6      |
|    explained_variance   | 0.632      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.582     |
|    n_updates            | 1440       |
|    policy_gradient_loss | -0.107     |
|    std                  | 3.36       |
|    value_loss           | 0.0334     |
----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | visual      |
|    stage                | 2           |
| rollout/                |             |
|    ep_len_mean          | 297         |
|    ep_rew_mean          | 1.138129    |
| time/                   |             |
|    fps                  | 169         |
|    iterations           | 8           |
|    time_elapsed         | 193         |
|    total_timesteps      | 5132288     |
| train/                  |             |
|    approx_kl            | 0.056251105 |
|    clip_fraction        | 0.547       |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.7       |
|    explained_variance   | 0.623       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.592      |
|    n_updates            | 1455        |
|    policy_gradient_loss | -0.107      |
|    std                  | 3.4         |
|    value_loss           | 0.0286      |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | visual      |
|    stage                | 2           |
| rollout/                |             |
|    ep_len_mean          | 304         |
|    ep_rew_mean          | 1.1168288   |
| time/                   |             |
|    fps                  | 168         |
|    iterations           | 9           |
|    time_elapsed         | 218         |
|    total_timesteps      | 5136384     |
| train/                  |             |
|    approx_kl            | 0.078268126 |
|    clip_fraction        | 0.582       |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.9       |
|    explained_variance   | 0.589       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.587      |
|    n_updates            | 1470        |
|    policy_gradient_loss | -0.0988     |
|    std                  | 3.46        |
|    value_loss           | 0.0218      |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | visual      |
|    stage                | 2           |
| rollout/                |             |
|    ep_len_mean          | 326         |
|    ep_rew_mean          | 1.1656543   |
| time/                   |             |
|    fps                  | 167         |
|    iterations           | 10          |
|    time_elapsed         | 244         |
|    total_timesteps      | 5140480     |
| train/                  |             |
|    approx_kl            | 0.062419128 |
|    clip_fraction        | 0.592       |
|    clip_range           | 0.2         |
|    entropy_loss         | -24         |
|    explained_variance   | 0.737       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.597      |
|    n_updates            | 1485        |
|    policy_gradient_loss | -0.112      |
|    std                  | 3.51        |
|    value_loss           | 0.0271      |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | visual      |
|    stage                | 2           |
| rollout/                |             |
|    ep_len_mean          | 335         |
|    ep_rew_mean          | 1.0251311   |
| time/                   |             |
|    fps                  | 166         |
|    iterations           | 11          |
|    time_elapsed         | 270         |
|    total_timesteps      | 5144576     |
| train/                  |             |
|    approx_kl            | 0.060258977 |
|    clip_fraction        | 0.571       |
|    clip_range           | 0.2         |
|    entropy_loss         | -24.1       |
|    explained_variance   | 0.648       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.603      |
|    n_updates            | 1500        |
|    policy_gradient_loss | -0.11       |
|    std                  | 3.55        |
|    value_loss           | 0.0216      |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | visual     |
|    stage                | 2          |
| rollout/                |            |
|    ep_len_mean          | 336        |
|    ep_rew_mean          | 0.99689746 |
| time/                   |            |
|    fps                  | 166        |
|    iterations           | 12         |
|    time_elapsed         | 296        |
|    total_timesteps      | 5148672    |
| train/                  |            |
|    approx_kl            | 0.06743527 |
|    clip_fraction        | 0.553      |
|    clip_range           | 0.2        |
|    entropy_loss         | -24.3      |
|    explained_variance   | 0.587      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.573     |
|    n_updates            | 1515       |
|    policy_gradient_loss | -0.0911    |
|    std                  | 3.61       |
|    value_loss           | 0.0647     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | visual     |
|    stage                | 2          |
| rollout/                |            |
|    ep_len_mean          | 338        |
|    ep_rew_mean          | 1.0361452  |
| time/                   |            |
|    fps                  | 165        |
|    iterations           | 13         |
|    time_elapsed         | 321        |
|    total_timesteps      | 5152768    |
| train/                  |            |
|    approx_kl            | 0.78591925 |
|    clip_fraction        | 0.625      |
|    clip_range           | 0.2        |
|    entropy_loss         | -24.4      |
|    explained_variance   | 0.51       |
|    learning_rate        | 0.00025    |
|    loss                 | -0.601     |
|    n_updates            | 1530       |
|    policy_gradient_loss | -0.11      |
|    std                  | 3.65       |
|    value_loss           | 0.0306     |
----------------------------------------
2025-07-21 13:31:36,403 3055876 INFO model saved to random_sequencing_logs/model_stage_2_visual
2025-07-21 13:31:36,404 3055876 INFO
Completed stage 2. Intervention 'visual' removed from list.
2025-07-21 13:31:36,404 3055876 INFO Remaining interventions: 5
2025-07-21 13:31:36,405 3055876 INFO CURRICULUM STAGE 3/7
2025-07-21 13:31:36,405 3055876 INFO Remaining interventions: ['goal', 'mass', 'friction', 'position', 'angle']
2025-07-21 13:31:36,405 3055876 INFO Randomly selected intervention: position
2025-07-21 13:31:36,405 3055876 INFO === stage 3/7: training on position intervention ===
Logging to random_sequencing_logs/sb3_csv_logs_3_position
IntervenedCausalWorld created with position intervention
Reset #1: position intervention applied (success: True)
Reset #2: position intervention applied (success: True)
Reset #3: position intervention applied (success: True)
-------------------------------------
| custom/              |            |
|    intervention_type | position   |
|    stage             | 3          |
| rollout/             |            |
|    ep_len_mean       | 354        |
|    ep_rew_mean       | 0.89242953 |
| time/                |            |
|    fps               | 416        |
|    iterations        | 1          |
|    time_elapsed      | 9          |
|    total_timesteps   | 5156864    |
-------------------------------------
-----------------------------------------
| custom/                 |             |
|    intervention_type    | position    |
|    stage                | 3           |
| rollout/                |             |
|    ep_len_mean          | 368         |
|    ep_rew_mean          | 0.73621744  |
| time/                   |             |
|    fps                  | 253         |
|    iterations           | 2           |
|    time_elapsed         | 32          |
|    total_timesteps      | 5160960     |
| train/                  |             |
|    approx_kl            | 0.071284674 |
|    clip_fraction        | 0.604       |
|    clip_range           | 0.2         |
|    entropy_loss         | -24.7       |
|    explained_variance   | 0.598       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.607      |
|    n_updates            | 1560        |
|    policy_gradient_loss | -0.104      |
|    std                  | 3.78        |
|    value_loss           | 0.0216      |
-----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | position   |
|    stage                | 3          |
| rollout/                |            |
|    ep_len_mean          | 376        |
|    ep_rew_mean          | 0.7150872  |
| time/                   |            |
|    fps                  | 223        |
|    iterations           | 3          |
|    time_elapsed         | 55         |
|    total_timesteps      | 5165056    |
| train/                  |            |
|    approx_kl            | 0.37755412 |
|    clip_fraction        | 0.622      |
|    clip_range           | 0.2        |
|    entropy_loss         | -24.8      |
|    explained_variance   | 0.731      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.605     |
|    n_updates            | 1575       |
|    policy_gradient_loss | -0.105     |
|    std                  | 3.85       |
|    value_loss           | 0.0199     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | position   |
|    stage                | 3          |
| rollout/                |            |
|    ep_len_mean          | 382        |
|    ep_rew_mean          | 0.5297511  |
| time/                   |            |
|    fps                  | 202        |
|    iterations           | 4          |
|    time_elapsed         | 81         |
|    total_timesteps      | 5169152    |
| train/                  |            |
|    approx_kl            | 0.06554392 |
|    clip_fraction        | 0.58       |
|    clip_range           | 0.2        |
|    entropy_loss         | -25.1      |
|    explained_variance   | 0.779      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.615     |
|    n_updates            | 1590       |
|    policy_gradient_loss | -0.102     |
|    std                  | 3.95       |
|    value_loss           | 0.0126     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | position   |
|    stage                | 3          |
| rollout/                |            |
|    ep_len_mean          | 395        |
|    ep_rew_mean          | 0.5709161  |
| time/                   |            |
|    fps                  | 191        |
|    iterations           | 5          |
|    time_elapsed         | 107        |
|    total_timesteps      | 5173248    |
| train/                  |            |
|    approx_kl            | 0.07319713 |
|    clip_fraction        | 0.543      |
|    clip_range           | 0.2        |
|    entropy_loss         | -25.2      |
|    explained_variance   | 0.592      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.599     |
|    n_updates            | 1605       |
|    policy_gradient_loss | -0.0914    |
|    std                  | 4          |
|    value_loss           | 0.0258     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | position   |
|    stage                | 3          |
| rollout/                |            |
|    ep_len_mean          | 408        |
|    ep_rew_mean          | 0.42323267 |
| time/                   |            |
|    fps                  | 184        |
|    iterations           | 6          |
|    time_elapsed         | 133        |
|    total_timesteps      | 5177344    |
| train/                  |            |
|    approx_kl            | 0.06136231 |
|    clip_fraction        | 0.597      |
|    clip_range           | 0.2        |
|    entropy_loss         | -25.4      |
|    explained_variance   | 0.794      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.622     |
|    n_updates            | 1620       |
|    policy_gradient_loss | -0.108     |
|    std                  | 4.08       |
|    value_loss           | 0.0128     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | position   |
|    stage                | 3          |
| rollout/                |            |
|    ep_len_mean          | 411        |
|    ep_rew_mean          | 0.37339348 |
| time/                   |            |
|    fps                  | 180        |
|    iterations           | 7          |
|    time_elapsed         | 159        |
|    total_timesteps      | 5181440    |
| train/                  |            |
|    approx_kl            | 0.07030057 |
|    clip_fraction        | 0.529      |
|    clip_range           | 0.2        |
|    entropy_loss         | -25.5      |
|    explained_variance   | 0.464      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.593     |
|    n_updates            | 1635       |
|    policy_gradient_loss | -0.0821    |
|    std                  | 4.14       |
|    value_loss           | 0.0252     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | position   |
|    stage                | 3          |
| rollout/                |            |
|    ep_len_mean          | 427        |
|    ep_rew_mean          | 0.39454284 |
| time/                   |            |
|    fps                  | 176        |
|    iterations           | 8          |
|    time_elapsed         | 185        |
|    total_timesteps      | 5185536    |
| train/                  |            |
|    approx_kl            | 0.20160235 |
|    clip_fraction        | 0.593      |
|    clip_range           | 0.2        |
|    entropy_loss         | -25.6      |
|    explained_variance   | 0.732      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.618     |
|    n_updates            | 1650       |
|    policy_gradient_loss | -0.0984    |
|    std                  | 4.22       |
|    value_loss           | 0.0327     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | position   |
|    stage                | 3          |
| rollout/                |            |
|    ep_len_mean          | 438        |
|    ep_rew_mean          | 0.44360065 |
| time/                   |            |
|    fps                  | 174        |
|    iterations           | 9          |
|    time_elapsed         | 211        |
|    total_timesteps      | 5189632    |
| train/                  |            |
|    approx_kl            | 0.07397114 |
|    clip_fraction        | 0.592      |
|    clip_range           | 0.2        |
|    entropy_loss         | -25.9      |
|    explained_variance   | 0.714      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.633     |
|    n_updates            | 1665       |
|    policy_gradient_loss | -0.101     |
|    std                  | 4.31       |
|    value_loss           | 0.0149     |
----------------------------------------
----------------------------------------
| custom/                 |            |
|    intervention_type    | position   |
|    stage                | 3          |
| rollout/                |            |
|    ep_len_mean          | 444        |
|    ep_rew_mean          | 0.5086443  |
| time/                   |            |
|    fps                  | 172        |
|    iterations           | 10         |
|    time_elapsed         | 237        |
|    total_timesteps      | 5193728    |
| train/                  |            |
|    approx_kl            | 0.07692395 |
|    clip_fraction        | 0.601      |
|    clip_range           | 0.2        |
|    entropy_loss         | -26        |
|    explained_variance   | 0.758      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.641     |
|    n_updates            | 1680       |
|    policy_gradient_loss | -0.106     |
|    std                  | 4.41       |
