Logging to autocalc_pushing/autocalc_curriculum_1
/home/kpatherya3/anaconda3/envs/causal_env/lib/python3.7/site-packages/stable_baselines3/common/callbacks.py:337: UserWarning: Training and eval env are not of the same type<stable_baselines3.common.vec_env.vec_monitor.VecMonitor object at 0x7f38c16935d0> != <stable_baselines3.common.vec_env.dummy_vec_env.DummyVecEnv object at 0x7f38bc741f10>
  warnings.warn("Training and eval env are not of the same type" f"{self.training_env} != {self.eval_env}")
-----------------------------------
| rollout/           |            |
| time/                   |             |
|    fps                  | 860         |
|    iterations           | 225         |
|    time_elapsed         | 1070        |
|    total_timesteps      | 921600      |
| train/                  |             |
|    approx_kl            | 0.009543421 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -32.4       |
|    explained_variance   | 0.818       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.628      |
|    n_updates            | 4515        |
|    policy_gradient_loss | -0.0232     |
|    std                  | 8.87        |
|    value_loss           | 0.122       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1814853   |
| time/                   |             |
|    fps                  | 860         |
|    iterations           | 226         |
|    time_elapsed         | 1076        |
|    total_timesteps      | 925696      |
| train/                  |             |
|    approx_kl            | 0.012724401 |
|    clip_fraction        | 0.133       |
|    clip_range           | 0.2         |
|    entropy_loss         | -32.4       |
|    explained_variance   | 0.585       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.602      |
|    n_updates            | 4530        |
|    policy_gradient_loss | -0.0185     |
|    std                  | 8.91        |
|    value_loss           | 0.187       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1832033   |
| time/                   |             |
|    fps                  | 859         |
|    iterations           | 227         |
|    time_elapsed         | 1081        |
|    total_timesteps      | 929792      |
| train/                  |             |
|    approx_kl            | 0.013708407 |
|    clip_fraction        | 0.141       |
|    clip_range           | 0.2         |
|    entropy_loss         | -32.4       |
|    explained_variance   | 0.652       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.633      |
|    n_updates            | 4545        |
|    policy_gradient_loss | -0.0305     |
|    std                  | 8.93        |
|    value_loss           | 0.131       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 251          |
|    ep_rew_mean          | 1.2633655    |
| time/                   |              |
|    fps                  | 859          |
|    iterations           | 228          |
|    time_elapsed         | 1086         |
|    total_timesteps      | 933888       |
| train/                  |              |
|    approx_kl            | 0.0131911365 |
|    clip_fraction        | 0.144        |
|    clip_range           | 0.2          |
|    entropy_loss         | -32.5        |
|    explained_variance   | 0.555        |
|    learning_rate        | 0.00025      |
|    loss                 | -0.622       |
|    n_updates            | 4560         |
|    policy_gradient_loss | -0.0277      |
|    std                  | 8.97         |
|    value_loss           | 0.213        |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.3027824  |
| time/                   |            |
|    fps                  | 859        |
|    iterations           | 229        |
|    time_elapsed         | 1090       |
|    total_timesteps      | 937984     |
| train/                  |            |
|    approx_kl            | 0.01606525 |
|    clip_fraction        | 0.175      |
|    clip_range           | 0.2        |
|    entropy_loss         | -32.5      |
|    explained_variance   | 0.579      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.591     |
|    n_updates            | 4575       |
|    policy_gradient_loss | -0.0263    |
|    std                  | 9.07       |
|    value_loss           | 0.185      |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 251          |
|    ep_rew_mean          | 1.2306601    |
| time/                   |              |
|    fps                  | 859          |
|    iterations           | 230          |
|    time_elapsed         | 1096         |
|    total_timesteps      | 942080       |
| train/                  |              |
|    approx_kl            | 0.0145352045 |
|    clip_fraction        | 0.171        |
|    clip_range           | 0.2          |
|    entropy_loss         | -32.6        |
|    explained_variance   | 0.66         |
|    learning_rate        | 0.00025      |
|    loss                 | -0.65        |
|    n_updates            | 4590         |
|    policy_gradient_loss | -0.0296      |
|    std                  | 9.14         |
|    value_loss           | 0.141        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0578059   |
| time/                   |             |
|    fps                  | 858         |
|    iterations           | 231         |
|    time_elapsed         | 1101        |
|    total_timesteps      | 946176      |
| train/                  |             |
|    approx_kl            | 0.013644848 |
|    clip_fraction        | 0.149       |
|    clip_range           | 0.2         |
|    entropy_loss         | -32.7       |
|    explained_variance   | 0.609       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.628      |
|    n_updates            | 4605        |
|    policy_gradient_loss | -0.0267     |
|    std                  | 9.18        |
|    value_loss           | 0.182       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.9817284   |
| time/                   |             |
|    fps                  | 858         |
|    iterations           | 232         |
|    time_elapsed         | 1107        |
|    total_timesteps      | 950272      |
| train/                  |             |
|    approx_kl            | 0.017167373 |
|    clip_fraction        | 0.157       |
|    clip_range           | 0.2         |
|    entropy_loss         | -32.7       |
|    explained_variance   | 0.592       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.599      |
|    n_updates            | 4620        |
|    policy_gradient_loss | -0.0237     |
|    std                  | 9.21        |
|    value_loss           | 0.252       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.9899019   |
| time/                   |             |
|    fps                  | 858         |
|    iterations           | 233         |
|    time_elapsed         | 1111        |
|    total_timesteps      | 954368      |
| train/                  |             |
|    approx_kl            | 0.014365367 |
|    clip_fraction        | 0.16        |
|    clip_range           | 0.2         |
|    entropy_loss         | -32.7       |
|    explained_variance   | 0.715       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.648      |
|    n_updates            | 4635        |
|    policy_gradient_loss | -0.0263     |
|    std                  | 9.25        |
|    value_loss           | 0.133       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.9007711   |
| time/                   |             |
|    fps                  | 858         |
|    iterations           | 234         |
|    time_elapsed         | 1116        |
|    total_timesteps      | 958464      |
| train/                  |             |
|    approx_kl            | 0.015549324 |
|    clip_fraction        | 0.171       |
|    clip_range           | 0.2         |
|    entropy_loss         | -32.8       |
|    explained_variance   | 0.711       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.64       |
|    n_updates            | 4650        |
|    policy_gradient_loss | -0.0296     |
|    std                  | 9.27        |
|    value_loss           | 0.169       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0049173   |
| time/                   |             |
|    fps                  | 858         |
|    iterations           | 235         |
|    time_elapsed         | 1120        |
|    total_timesteps      | 962560      |
| train/                  |             |
|    approx_kl            | 0.013523746 |
|    clip_fraction        | 0.147       |
|    clip_range           | 0.2         |
|    entropy_loss         | -32.8       |
|    explained_variance   | 0.596       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.612      |
|    n_updates            | 4665        |
|    policy_gradient_loss | -0.0249     |
|    std                  | 9.33        |
|    value_loss           | 0.224       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0995582   |
| time/                   |             |
|    fps                  | 859         |
|    iterations           | 236         |
|    time_elapsed         | 1125        |
|    total_timesteps      | 966656      |
| train/                  |             |
|    approx_kl            | 0.014178209 |
|    clip_fraction        | 0.179       |
|    clip_range           | 0.2         |
|    entropy_loss         | -32.9       |
|    explained_variance   | 0.647       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.619      |
|    n_updates            | 4680        |
|    policy_gradient_loss | -0.0285     |
|    std                  | 9.39        |
|    value_loss           | 0.209       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.2352928   |
| time/                   |             |
|    fps                  | 859         |
|    iterations           | 237         |
|    time_elapsed         | 1129        |
|    total_timesteps      | 970752      |
| train/                  |             |
|    approx_kl            | 0.010876364 |
|    clip_fraction        | 0.133       |
|    clip_range           | 0.2         |
|    entropy_loss         | -32.9       |
|    explained_variance   | 0.671       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.619      |
|    n_updates            | 4695        |
|    policy_gradient_loss | -0.0239     |
|    std                  | 9.42        |
|    value_loss           | 0.223       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.1319407  |
| time/                   |            |
|    fps                  | 859        |
|    iterations           | 238        |
|    time_elapsed         | 1134       |
|    total_timesteps      | 974848     |
| train/                  |            |
|    approx_kl            | 0.01046513 |
|    clip_fraction        | 0.135      |
|    clip_range           | 0.2        |
|    entropy_loss         | -32.9      |
|    explained_variance   | 0.615      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.625     |
|    n_updates            | 4710       |
|    policy_gradient_loss | -0.0285    |
|    std                  | 9.45       |
|    value_loss           | 0.187      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.2158465   |
| time/                   |             |
|    fps                  | 859         |
|    iterations           | 239         |
|    time_elapsed         | 1138        |
|    total_timesteps      | 978944      |
| train/                  |             |
|    approx_kl            | 0.015506669 |
|    clip_fraction        | 0.16        |
|    clip_range           | 0.2         |
|    entropy_loss         | -33         |
|    explained_variance   | 0.495       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.61       |
|    n_updates            | 4725        |
|    policy_gradient_loss | -0.0256     |
|    std                  | 9.49        |
|    value_loss           | 0.233       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.3254592   |
| time/                   |             |
|    fps                  | 860         |
|    iterations           | 240         |
|    time_elapsed         | 1142        |
|    total_timesteps      | 983040      |
| train/                  |             |
|    approx_kl            | 0.012015412 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.2         |
|    entropy_loss         | -33         |
|    explained_variance   | 0.603       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.588      |
|    n_updates            | 4740        |
|    policy_gradient_loss | -0.0266     |
|    std                  | 9.53        |
|    value_loss           | 0.226       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.3542038   |
| time/                   |             |
|    fps                  | 860         |
|    iterations           | 241         |
|    time_elapsed         | 1146        |
|    total_timesteps      | 987136      |
| train/                  |             |
|    approx_kl            | 0.014308865 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -33         |
|    explained_variance   | 0.689       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.646      |
|    n_updates            | 4755        |
|    policy_gradient_loss | -0.0261     |
|    std                  | 9.56        |
|    value_loss           | 0.136       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.052602    |
| time/                   |             |
|    fps                  | 860         |
|    iterations           | 242         |
|    time_elapsed         | 1151        |
|    total_timesteps      | 991232      |
| train/                  |             |
|    approx_kl            | 0.011345753 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -33.1       |
|    explained_variance   | 0.512       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.591      |
|    n_updates            | 4770        |
|    policy_gradient_loss | -0.027      |
|    std                  | 9.58        |
|    value_loss           | 0.236       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.001522    |
| time/                   |             |
|    fps                  | 861         |
|    iterations           | 243         |
|    time_elapsed         | 1155        |
|    total_timesteps      | 995328      |
| train/                  |             |
|    approx_kl            | 0.014605511 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -33.1       |
|    explained_variance   | 0.674       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.651      |
|    n_updates            | 4785        |
|    policy_gradient_loss | -0.0245     |
|    std                  | 9.64        |
|    value_loss           | 0.15        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 251          |
|    ep_rew_mean          | 1.108965     |
| time/                   |              |
|    fps                  | 861          |
|    iterations           | 244          |
|    time_elapsed         | 1160         |
|    total_timesteps      | 999424       |
| train/                  |              |
|    approx_kl            | 0.0135006625 |
|    clip_fraction        | 0.159        |
|    clip_range           | 0.2          |
|    entropy_loss         | -33.1        |
|    explained_variance   | 0.542        |
|    learning_rate        | 0.00025      |
|    loss                 | -0.62        |
|    n_updates            | 4800         |
|    policy_gradient_loss | -0.0225      |
|    std                  | 9.68         |
|    value_loss           | 0.209        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0230856   |
| time/                   |             |
|    fps                  | 861         |
|    iterations           | 245         |
|    time_elapsed         | 1164        |
|    total_timesteps      | 1003520     |
| train/                  |             |
|    approx_kl            | 0.014621332 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -33.2       |
|    explained_variance   | 0.632       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.636      |
|    n_updates            | 4815        |
|    policy_gradient_loss | -0.0245     |
|    std                  | 9.72        |
|    value_loss           | 0.174       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.90308577  |
| time/                   |             |
|    fps                  | 861         |
|    iterations           | 246         |
|    time_elapsed         | 1169        |
|    total_timesteps      | 1007616     |
| train/                  |             |
|    approx_kl            | 0.014077013 |
|    clip_fraction        | 0.151       |
|    clip_range           | 0.2         |
|    entropy_loss         | -33.2       |
|    explained_variance   | 0.707       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.646      |
|    n_updates            | 4830        |
|    policy_gradient_loss | -0.03       |
|    std                  | 9.79        |
|    value_loss           | 0.131       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 251          |
|    ep_rew_mean          | 0.9275223    |
| time/                   |              |
|    fps                  | 862          |
|    iterations           | 247          |
|    time_elapsed         | 1173         |
|    total_timesteps      | 1011712      |
| train/                  |              |
|    approx_kl            | 0.0142839495 |
|    clip_fraction        | 0.197        |
|    clip_range           | 0.2          |
|    entropy_loss         | -33.3        |
|    explained_variance   | 0.711        |
|    learning_rate        | 0.00025      |
|    loss                 | -0.651       |
|    n_updates            | 4845         |
|    policy_gradient_loss | -0.0277      |
|    std                  | 9.87         |
|    value_loss           | 0.139        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0043283   |
| time/                   |             |
|    fps                  | 861         |
|    iterations           | 248         |
|    time_elapsed         | 1178        |
|    total_timesteps      | 1015808     |
| train/                  |             |
|    approx_kl            | 0.014348366 |
|    clip_fraction        | 0.149       |
|    clip_range           | 0.2         |
|    entropy_loss         | -33.4       |
|    explained_variance   | 0.442       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.608      |
|    n_updates            | 4860        |
|    policy_gradient_loss | -0.0216     |
|    std                  | 9.91        |
|    value_loss           | 0.196       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0680128   |
| time/                   |             |
|    fps                  | 861         |
|    iterations           | 249         |
|    time_elapsed         | 1183        |
|    total_timesteps      | 1019904     |
| train/                  |             |
|    approx_kl            | 0.017247252 |
|    clip_fraction        | 0.173       |
|    clip_range           | 0.2         |
|    entropy_loss         | -33.4       |
|    explained_variance   | 0.643       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.656      |
|    n_updates            | 4875        |
|    policy_gradient_loss | -0.0313     |
|    std                  | 9.97        |
|    value_loss           | 0.132       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0894184   |
| time/                   |             |
|    fps                  | 862         |
|    iterations           | 250         |
|    time_elapsed         | 1187        |
|    total_timesteps      | 1024000     |
| train/                  |             |
|    approx_kl            | 0.014194569 |
|    clip_fraction        | 0.157       |
|    clip_range           | 0.2         |
|    entropy_loss         | -33.4       |
|    explained_variance   | 0.711       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.651      |
|    n_updates            | 4890        |
|    policy_gradient_loss | -0.0292     |
|    std                  | 10          |
|    value_loss           | 0.14        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 251          |
|    ep_rew_mean          | 1.1614035    |
| time/                   |              |
|    fps                  | 862          |
|    iterations           | 251          |
|    time_elapsed         | 1192         |
|    total_timesteps      | 1028096      |
| train/                  |              |
|    approx_kl            | 0.0129147135 |
|    clip_fraction        | 0.142        |
|    clip_range           | 0.2          |
|    entropy_loss         | -33.5        |
|    explained_variance   | 0.617        |
|    learning_rate        | 0.00025      |
|    loss                 | -0.584       |
|    n_updates            | 4905         |
|    policy_gradient_loss | -0.0233      |
|    std                  | 10.1         |
|    value_loss           | 0.249        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.168089    |
| time/                   |             |
|    fps                  | 862         |
|    iterations           | 252         |
|    time_elapsed         | 1196        |
|    total_timesteps      | 1032192     |
| train/                  |             |
|    approx_kl            | 0.013230054 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -33.5       |
|    explained_variance   | 0.715       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.657      |
|    n_updates            | 4920        |
|    policy_gradient_loss | -0.0246     |
|    std                  | 10.1        |
|    value_loss           | 0.114       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.10386     |
| time/                   |             |
|    fps                  | 862         |
|    iterations           | 253         |
|    time_elapsed         | 1200        |
|    total_timesteps      | 1036288     |
| train/                  |             |
|    approx_kl            | 0.015552761 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -33.6       |
|    explained_variance   | 0.76        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.65       |
|    n_updates            | 4935        |
|    policy_gradient_loss | -0.0273     |
|    std                  | 10.2        |
|    value_loss           | 0.125       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.9627053   |
| time/                   |             |
|    fps                  | 863         |
|    iterations           | 254         |
|    time_elapsed         | 1205        |
|    total_timesteps      | 1040384     |
| train/                  |             |
|    approx_kl            | 0.017456558 |
|    clip_fraction        | 0.173       |
|    clip_range           | 0.2         |
|    entropy_loss         | -33.6       |
|    explained_variance   | 0.534       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.639      |
|    n_updates            | 4950        |
|    policy_gradient_loss | -0.0277     |
|    std                  | 10.2        |
|    value_loss           | 0.212       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.91496086  |
| time/                   |             |
|    fps                  | 863         |
|    iterations           | 255         |
|    time_elapsed         | 1209        |
|    total_timesteps      | 1044480     |
| train/                  |             |
|    approx_kl            | 0.013001087 |
|    clip_fraction        | 0.16        |
|    clip_range           | 0.2         |
|    entropy_loss         | -33.7       |
|    explained_variance   | 0.661       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.649      |
|    n_updates            | 4965        |
|    policy_gradient_loss | -0.0275     |
|    std                  | 10.3        |
|    value_loss           | 0.177       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0769358   |
| time/                   |             |
|    fps                  | 863         |
|    iterations           | 256         |
|    time_elapsed         | 1214        |
|    total_timesteps      | 1048576     |
| train/                  |             |
|    approx_kl            | 0.015842943 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -33.7       |
|    explained_variance   | 0.726       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.67       |
|    n_updates            | 4980        |
|    policy_gradient_loss | -0.0291     |
|    std                  | 10.4        |
|    value_loss           | 0.15        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0697216   |
| time/                   |             |
|    fps                  | 863         |
|    iterations           | 257         |
|    time_elapsed         | 1218        |
|    total_timesteps      | 1052672     |
| train/                  |             |
|    approx_kl            | 0.010411454 |
|    clip_fraction        | 0.0989      |
|    clip_range           | 0.2         |
|    entropy_loss         | -33.8       |
|    explained_variance   | 0.724       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.658      |
|    n_updates            | 4995        |
|    policy_gradient_loss | -0.0199     |
|    std                  | 10.4        |
|    value_loss           | 0.136       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.9887369   |
| time/                   |             |
|    fps                  | 863         |
|    iterations           | 258         |
|    time_elapsed         | 1224        |
|    total_timesteps      | 1056768     |
| train/                  |             |
|    approx_kl            | 0.014108084 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -33.8       |
|    explained_variance   | 0.685       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.661      |
|    n_updates            | 5010        |
|    policy_gradient_loss | -0.0233     |
|    std                  | 10.5        |
|    value_loss           | 0.127       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.125102    |
| time/                   |             |
|    fps                  | 863         |
|    iterations           | 259         |
|    time_elapsed         | 1228        |
|    total_timesteps      | 1060864     |
| train/                  |             |
|    approx_kl            | 0.013316892 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -33.9       |
|    explained_variance   | 0.545       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.624      |
|    n_updates            | 5025        |
|    policy_gradient_loss | -0.0242     |
|    std                  | 10.5        |
|    value_loss           | 0.218       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 251          |
|    ep_rew_mean          | 1.3344165    |
| time/                   |              |
|    fps                  | 864          |
|    iterations           | 260          |
|    time_elapsed         | 1232         |
|    total_timesteps      | 1064960      |
| train/                  |              |
|    approx_kl            | 0.0148606915 |
|    clip_fraction        | 0.168        |
|    clip_range           | 0.2          |
|    entropy_loss         | -33.9        |
|    explained_variance   | 0.734        |
|    learning_rate        | 0.00025      |
|    loss                 | -0.68        |
|    n_updates            | 5040         |
|    policy_gradient_loss | -0.0287      |
|    std                  | 10.6         |
|    value_loss           | 0.0908       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 251          |
|    ep_rew_mean          | 1.2803009    |
| time/                   |              |
|    fps                  | 864          |
|    iterations           | 261          |
|    time_elapsed         | 1236         |
|    total_timesteps      | 1069056      |
| train/                  |              |
|    approx_kl            | 0.0144420285 |
|    clip_fraction        | 0.176        |
|    clip_range           | 0.2          |
|    entropy_loss         | -34          |
|    explained_variance   | 0.551        |
|    learning_rate        | 0.00025      |
|    loss                 | -0.669       |
|    n_updates            | 5055         |
|    policy_gradient_loss | -0.0283      |
|    std                  | 10.6         |
|    value_loss           | 0.169        |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.1377435  |
| time/                   |            |
|    fps                  | 864        |
|    iterations           | 262        |
|    time_elapsed         | 1241       |
|    total_timesteps      | 1073152    |
| train/                  |            |
|    approx_kl            | 0.01607335 |
|    clip_fraction        | 0.16       |
|    clip_range           | 0.2        |
|    entropy_loss         | -34        |
|    explained_variance   | 0.691      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.679     |
|    n_updates            | 5070       |
|    policy_gradient_loss | -0.0285    |
|    std                  | 10.7       |
|    value_loss           | 0.1        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0675623   |
| time/                   |             |
|    fps                  | 864         |
|    iterations           | 263         |
|    time_elapsed         | 1246        |
|    total_timesteps      | 1077248     |
| train/                  |             |
|    approx_kl            | 0.013494302 |
|    clip_fraction        | 0.173       |
|    clip_range           | 0.2         |
|    entropy_loss         | -34.1       |
|    explained_variance   | 0.682       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.67       |
|    n_updates            | 5085        |
|    policy_gradient_loss | -0.028      |
|    std                  | 10.7        |
|    value_loss           | 0.153       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.97898394  |
| time/                   |             |
|    fps                  | 864         |
|    iterations           | 264         |
|    time_elapsed         | 1250        |
|    total_timesteps      | 1081344     |
| train/                  |             |
|    approx_kl            | 0.015124533 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -34.1       |
|    explained_variance   | 0.219       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.559      |
|    n_updates            | 5100        |
|    policy_gradient_loss | -0.0205     |
|    std                  | 10.8        |
|    value_loss           | 0.321       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 251          |
|    ep_rew_mean          | 0.95969474   |
| time/                   |              |
|    fps                  | 865          |
|    iterations           | 265          |
|    time_elapsed         | 1254         |
|    total_timesteps      | 1085440      |
| train/                  |              |
|    approx_kl            | 0.0105878245 |
|    clip_fraction        | 0.146        |
|    clip_range           | 0.2          |
|    entropy_loss         | -34.2        |
|    explained_variance   | 0.547        |
|    learning_rate        | 0.00025      |
|    loss                 | -0.637       |
|    n_updates            | 5115         |
|    policy_gradient_loss | -0.0216      |
|    std                  | 10.8         |
|    value_loss           | 0.233        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0602094   |
| time/                   |             |
|    fps                  | 865         |
|    iterations           | 266         |
|    time_elapsed         | 1259        |
|    total_timesteps      | 1089536     |
| train/                  |             |
|    approx_kl            | 0.014889015 |
|    clip_fraction        | 0.157       |
|    clip_range           | 0.2         |
|    entropy_loss         | -34.2       |
|    explained_variance   | 0.595       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.654      |
|    n_updates            | 5130        |
|    policy_gradient_loss | -0.0254     |
|    std                  | 10.9        |
|    value_loss           | 0.175       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0724746   |
| time/                   |             |
|    fps                  | 865         |
|    iterations           | 267         |
|    time_elapsed         | 1264        |
|    total_timesteps      | 1093632     |
| train/                  |             |
|    approx_kl            | 0.013200417 |
|    clip_fraction        | 0.133       |
|    clip_range           | 0.2         |
|    entropy_loss         | -34.2       |
|    explained_variance   | 0.624       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.637      |
|    n_updates            | 5145        |
|    policy_gradient_loss | -0.023      |
|    std                  | 10.9        |
|    value_loss           | 0.187       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1778189   |
| time/                   |             |
|    fps                  | 864         |
|    iterations           | 268         |
|    time_elapsed         | 1269        |
|    total_timesteps      | 1097728     |
| train/                  |             |
|    approx_kl            | 0.013085639 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -34.3       |
|    explained_variance   | 0.744       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.686      |
|    n_updates            | 5160        |
