Logging to autocalc_pushing/autocalc_curriculum_1
/home/kpatherya3/anaconda3/envs/causal_env/lib/python3.7/site-packages/stable_baselines3/common/callbacks.py:337: UserWarning: Training and eval env are not of the same type<stable_baselines3.common.vec_env.vec_monitor.VecMonitor object at 0x7f38c16935d0> != <stable_baselines3.common.vec_env.dummy_vec_env.DummyVecEnv object at 0x7f38bc741f10>
  warnings.warn("Training and eval env are not of the same type" f"{self.training_env} != {self.eval_env}")
-----------------------------------
| rollout/           |            |
|    policy_gradient_loss | -0.0345     |
|    std                  | 2.71        |
|    value_loss           | 0.0794      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.8336002   |
| time/                   |             |
|    fps                  | 1424        |
|    iterations           | 6           |
|    time_elapsed         | 17          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.020464005 |
|    clip_fraction        | 0.237       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.8       |
|    explained_variance   | 0.686       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.453      |
|    n_updates            | 1230        |
|    policy_gradient_loss | -0.0381     |
|    std                  | 2.73        |
|    value_loss           | 0.0914      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.96656466  |
| time/                   |             |
|    fps                  | 1381        |
|    iterations           | 7           |
|    time_elapsed         | 20          |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.015610911 |
|    clip_fraction        | 0.219       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.8       |
|    explained_variance   | 0.654       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.474      |
|    n_updates            | 1245        |
|    policy_gradient_loss | -0.0396     |
|    std                  | 2.75        |
|    value_loss           | 0.0793      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.98293823  |
| time/                   |             |
|    fps                  | 1326        |
|    iterations           | 8           |
|    time_elapsed         | 24          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.015538834 |
|    clip_fraction        | 0.197       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.9       |
|    explained_variance   | 0.698       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.464      |
|    n_updates            | 1260        |
|    policy_gradient_loss | -0.0328     |
|    std                  | 2.76        |
|    value_loss           | 0.069       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1524526   |
| time/                   |             |
|    fps                  | 1325        |
|    iterations           | 9           |
|    time_elapsed         | 27          |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.015828885 |
|    clip_fraction        | 0.201       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.9       |
|    explained_variance   | 0.704       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.463      |
|    n_updates            | 1275        |
|    policy_gradient_loss | -0.0393     |
|    std                  | 2.77        |
|    value_loss           | 0.078       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0824707   |
| time/                   |             |
|    fps                  | 1292        |
|    iterations           | 10          |
|    time_elapsed         | 31          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.017265957 |
|    clip_fraction        | 0.211       |
|    clip_range           | 0.2         |
|    entropy_loss         | -22         |
|    explained_variance   | 0.628       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.452      |
|    n_updates            | 1290        |
|    policy_gradient_loss | -0.0331     |
|    std                  | 2.79        |
|    value_loss           | 0.0836      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1893039   |
| time/                   |             |
|    fps                  | 1296        |
|    iterations           | 11          |
|    time_elapsed         | 34          |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.021542298 |
|    clip_fraction        | 0.243       |
|    clip_range           | 0.2         |
|    entropy_loss         | -22         |
|    explained_variance   | 0.62        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.443      |
|    n_updates            | 1305        |
|    policy_gradient_loss | -0.033      |
|    std                  | 2.81        |
|    value_loss           | 0.11        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1348537   |
| time/                   |             |
|    fps                  | 1289        |
|    iterations           | 12          |
|    time_elapsed         | 38          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.012048994 |
|    clip_fraction        | 0.165       |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.1       |
|    explained_variance   | 0.765       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.464      |
|    n_updates            | 1320        |
|    policy_gradient_loss | -0.03       |
|    std                  | 2.82        |
|    value_loss           | 0.0722      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.0850974  |
| time/                   |            |
|    fps                  | 1280       |
|    iterations           | 13         |
|    time_elapsed         | 41         |
|    total_timesteps      | 53248      |
| train/                  |            |
|    approx_kl            | 0.01477824 |
|    clip_fraction        | 0.16       |
|    clip_range           | 0.2        |
|    entropy_loss         | -22.1      |
|    explained_variance   | 0.575      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.442     |
|    n_updates            | 1335       |
|    policy_gradient_loss | -0.038     |
|    std                  | 2.83       |
|    value_loss           | 0.12       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0364498   |
| time/                   |             |
|    fps                  | 1272        |
|    iterations           | 14          |
|    time_elapsed         | 45          |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.013529695 |
|    clip_fraction        | 0.172       |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.1       |
|    explained_variance   | 0.73        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.453      |
|    n_updates            | 1350        |
|    policy_gradient_loss | -0.0357     |
|    std                  | 2.84        |
|    value_loss           | 0.0744      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1043496   |
| time/                   |             |
|    fps                  | 1267        |
|    iterations           | 15          |
|    time_elapsed         | 48          |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.019558478 |
|    clip_fraction        | 0.226       |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.2       |
|    explained_variance   | 0.673       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.462      |
|    n_updates            | 1365        |
|    policy_gradient_loss | -0.0387     |
|    std                  | 2.85        |
|    value_loss           | 0.102       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1040657   |
| time/                   |             |
|    fps                  | 1257        |
|    iterations           | 16          |
|    time_elapsed         | 52          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.016971081 |
|    clip_fraction        | 0.222       |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.2       |
|    explained_variance   | 0.692       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.471      |
|    n_updates            | 1380        |
|    policy_gradient_loss | -0.0356     |
|    std                  | 2.88        |
|    value_loss           | 0.0724      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0130414   |
| time/                   |             |
|    fps                  | 1260        |
|    iterations           | 17          |
|    time_elapsed         | 55          |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.017253805 |
|    clip_fraction        | 0.22        |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.3       |
|    explained_variance   | 0.618       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.467      |
|    n_updates            | 1395        |
|    policy_gradient_loss | -0.039      |
|    std                  | 2.88        |
|    value_loss           | 0.0941      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.1000907  |
| time/                   |            |
|    fps                  | 1257       |
|    iterations           | 18         |
|    time_elapsed         | 58         |
|    total_timesteps      | 73728      |
| train/                  |            |
|    approx_kl            | 0.01577152 |
|    clip_fraction        | 0.194      |
|    clip_range           | 0.2        |
|    entropy_loss         | -22.3      |
|    explained_variance   | 0.65       |
|    learning_rate        | 0.00025    |
|    loss                 | -0.45      |
|    n_updates            | 1410       |
|    policy_gradient_loss | -0.0382    |
|    std                  | 2.91       |
|    value_loss           | 0.118      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.141419    |
| time/                   |             |
|    fps                  | 1262        |
|    iterations           | 19          |
|    time_elapsed         | 61          |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.022263343 |
|    clip_fraction        | 0.264       |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.4       |
|    explained_variance   | 0.725       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.469      |
|    n_updates            | 1425        |
|    policy_gradient_loss | -0.0403     |
|    std                  | 2.92        |
|    value_loss           | 0.0836      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.2471058  |
| time/                   |            |
|    fps                  | 1261       |
|    iterations           | 20         |
|    time_elapsed         | 64         |
|    total_timesteps      | 81920      |
| train/                  |            |
|    approx_kl            | 0.02762944 |
|    clip_fraction        | 0.185      |
|    clip_range           | 0.2        |
|    entropy_loss         | -22.5      |
|    explained_variance   | 0.578      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.44      |
|    n_updates            | 1440       |
|    policy_gradient_loss | -0.0364    |
|    std                  | 2.95       |
|    value_loss           | 0.121      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0500066   |
| time/                   |             |
|    fps                  | 1259        |
|    iterations           | 21          |
|    time_elapsed         | 68          |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.020719958 |
|    clip_fraction        | 0.177       |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.5       |
|    explained_variance   | 0.597       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.46       |
|    n_updates            | 1455        |
|    policy_gradient_loss | -0.0328     |
|    std                  | 2.96        |
|    value_loss           | 0.151       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0539143   |
| time/                   |             |
|    fps                  | 1259        |
|    iterations           | 22          |
|    time_elapsed         | 71          |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.022521704 |
|    clip_fraction        | 0.2         |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.6       |
|    explained_variance   | 0.662       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.477      |
|    n_updates            | 1470        |
|    policy_gradient_loss | -0.0399     |
|    std                  | 2.97        |
|    value_loss           | 0.0841      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.9087077   |
| time/                   |             |
|    fps                  | 1254        |
|    iterations           | 23          |
|    time_elapsed         | 75          |
|    total_timesteps      | 94208       |
| train/                  |             |
|    approx_kl            | 0.015333629 |
|    clip_fraction        | 0.164       |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.6       |
|    explained_variance   | 0.504       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.409      |
|    n_updates            | 1485        |
|    policy_gradient_loss | -0.028      |
|    std                  | 2.98        |
|    value_loss           | 0.19        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.86970985  |
| time/                   |             |
|    fps                  | 1257        |
|    iterations           | 24          |
|    time_elapsed         | 78          |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.022468707 |
|    clip_fraction        | 0.214       |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.6       |
|    explained_variance   | 0.706       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.48       |
|    n_updates            | 1500        |
|    policy_gradient_loss | -0.0388     |
|    std                  | 3           |
|    value_loss           | 0.0911      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.96936834  |
| time/                   |             |
|    fps                  | 1250        |
|    iterations           | 25          |
|    time_elapsed         | 81          |
|    total_timesteps      | 102400      |
| train/                  |             |
|    approx_kl            | 0.018136121 |
|    clip_fraction        | 0.21        |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.7       |
|    explained_variance   | 0.646       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.458      |
|    n_updates            | 1515        |
|    policy_gradient_loss | -0.0373     |
|    std                  | 3.02        |
|    value_loss           | 0.0974      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.9557821   |
| time/                   |             |
|    fps                  | 1250        |
|    iterations           | 26          |
|    time_elapsed         | 85          |
|    total_timesteps      | 106496      |
| train/                  |             |
|    approx_kl            | 0.020904409 |
|    clip_fraction        | 0.225       |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.7       |
|    explained_variance   | 0.676       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.481      |
|    n_updates            | 1530        |
|    policy_gradient_loss | -0.0395     |
|    std                  | 3.04        |
|    value_loss           | 0.0787      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.9789924   |
| time/                   |             |
|    fps                  | 1242        |
|    iterations           | 27          |
|    time_elapsed         | 88          |
|    total_timesteps      | 110592      |
| train/                  |             |
|    approx_kl            | 0.014926747 |
|    clip_fraction        | 0.186       |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.8       |
|    explained_variance   | 0.715       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.463      |
|    n_updates            | 1545        |
|    policy_gradient_loss | -0.039      |
|    std                  | 3.06        |
|    value_loss           | 0.0832      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1057986   |
| time/                   |             |
|    fps                  | 1234        |
|    iterations           | 28          |
|    time_elapsed         | 92          |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.019043531 |
|    clip_fraction        | 0.224       |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.9       |
|    explained_variance   | 0.612       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.458      |
|    n_updates            | 1560        |
|    policy_gradient_loss | -0.0332     |
|    std                  | 3.08        |
|    value_loss           | 0.107       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.2044342   |
| time/                   |             |
|    fps                  | 1240        |
|    iterations           | 29          |
|    time_elapsed         | 95          |
|    total_timesteps      | 118784      |
| train/                  |             |
|    approx_kl            | 0.015171533 |
|    clip_fraction        | 0.172       |
|    clip_range           | 0.2         |
|    entropy_loss         | -22.9       |
|    explained_variance   | 0.786       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.483      |
|    n_updates            | 1575        |
|    policy_gradient_loss | -0.0327     |
|    std                  | 3.1         |
|    value_loss           | 0.0748      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1818559   |
| time/                   |             |
|    fps                  | 1239        |
|    iterations           | 30          |
|    time_elapsed         | 99          |
|    total_timesteps      | 122880      |
| train/                  |             |
|    approx_kl            | 0.013834863 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.2         |
|    entropy_loss         | -23         |
|    explained_variance   | 0.709       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.477      |
|    n_updates            | 1590        |
|    policy_gradient_loss | -0.03       |
|    std                  | 3.1         |
|    value_loss           | 0.0825      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.04637     |
| time/                   |             |
|    fps                  | 1237        |
|    iterations           | 31          |
|    time_elapsed         | 102         |
|    total_timesteps      | 126976      |
| train/                  |             |
|    approx_kl            | 0.018948209 |
|    clip_fraction        | 0.2         |
|    clip_range           | 0.2         |
|    entropy_loss         | -23         |
|    explained_variance   | 0.713       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.465      |
|    n_updates            | 1605        |
|    policy_gradient_loss | -0.0324     |
|    std                  | 3.12        |
|    value_loss           | 0.0978      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0675187   |
| time/                   |             |
|    fps                  | 1232        |
|    iterations           | 32          |
|    time_elapsed         | 106         |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.025537875 |
|    clip_fraction        | 0.253       |
|    clip_range           | 0.2         |
|    entropy_loss         | -23         |
|    explained_variance   | 0.759       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.492      |
|    n_updates            | 1620        |
|    policy_gradient_loss | -0.0421     |
|    std                  | 3.13        |
|    value_loss           | 0.0792      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0413319   |
| time/                   |             |
|    fps                  | 1230        |
|    iterations           | 33          |
|    time_elapsed         | 109         |
|    total_timesteps      | 135168      |
| train/                  |             |
|    approx_kl            | 0.021335056 |
|    clip_fraction        | 0.221       |
|    clip_range           | 0.2         |
|    entropy_loss         | -23         |
|    explained_variance   | 0.684       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.464      |
|    n_updates            | 1635        |
|    policy_gradient_loss | -0.0376     |
|    std                  | 3.14        |
|    value_loss           | 0.0936      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.0927085  |
| time/                   |            |
|    fps                  | 1230       |
|    iterations           | 34         |
|    time_elapsed         | 113        |
|    total_timesteps      | 139264     |
| train/                  |            |
|    approx_kl            | 0.01746878 |
|    clip_fraction        | 0.203      |
|    clip_range           | 0.2        |
|    entropy_loss         | -23.1      |
|    explained_variance   | 0.759      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.483     |
|    n_updates            | 1650       |
|    policy_gradient_loss | -0.0383    |
|    std                  | 3.16       |
|    value_loss           | 0.082      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0222694   |
| time/                   |             |
|    fps                  | 1220        |
|    iterations           | 35          |
|    time_elapsed         | 117         |
|    total_timesteps      | 143360      |
| train/                  |             |
|    approx_kl            | 0.013225276 |
|    clip_fraction        | 0.147       |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.1       |
|    explained_variance   | 0.721       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.472      |
|    n_updates            | 1665        |
|    policy_gradient_loss | -0.0351     |
|    std                  | 3.17        |
|    value_loss           | 0.0879      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0033824   |
| time/                   |             |
|    fps                  | 1221        |
|    iterations           | 36          |
|    time_elapsed         | 120         |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.019060869 |
|    clip_fraction        | 0.223       |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.2       |
|    explained_variance   | 0.743       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.48       |
|    n_updates            | 1680        |
|    policy_gradient_loss | -0.04       |
|    std                  | 3.2         |
|    value_loss           | 0.0919      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.0448024  |
| time/                   |            |
|    fps                  | 1215       |
|    iterations           | 37         |
|    time_elapsed         | 124        |
|    total_timesteps      | 151552     |
| train/                  |            |
|    approx_kl            | 0.02105745 |
|    clip_fraction        | 0.186      |
|    clip_range           | 0.2        |
|    entropy_loss         | -23.2      |
|    explained_variance   | 0.734      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.474     |
|    n_updates            | 1695       |
|    policy_gradient_loss | -0.0314    |
|    std                  | 3.21       |
|    value_loss           | 0.0933     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1585339   |
| time/                   |             |
|    fps                  | 1215        |
|    iterations           | 38          |
|    time_elapsed         | 128         |
|    total_timesteps      | 155648      |
| train/                  |             |
|    approx_kl            | 0.015794441 |
|    clip_fraction        | 0.175       |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.3       |
|    explained_variance   | 0.765       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.488      |
|    n_updates            | 1710        |
|    policy_gradient_loss | -0.0292     |
|    std                  | 3.22        |
|    value_loss           | 0.0778      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.3083081   |
| time/                   |             |
|    fps                  | 1214        |
|    iterations           | 39          |
|    time_elapsed         | 131         |
|    total_timesteps      | 159744      |
| train/                  |             |
|    approx_kl            | 0.015058219 |
|    clip_fraction        | 0.183       |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.3       |
|    explained_variance   | 0.748       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.479      |
|    n_updates            | 1725        |
|    policy_gradient_loss | -0.0313     |
|    std                  | 3.24        |
|    value_loss           | 0.111       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1657004   |
| time/                   |             |
|    fps                  | 1214        |
|    iterations           | 40          |
|    time_elapsed         | 134         |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.010429297 |
|    clip_fraction        | 0.145       |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.4       |
|    explained_variance   | 0.742       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.445      |
|    n_updates            | 1740        |
|    policy_gradient_loss | -0.0261     |
|    std                  | 3.25        |
|    value_loss           | 0.117       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.2458134   |
| time/                   |             |
|    fps                  | 1210        |
|    iterations           | 41          |
|    time_elapsed         | 138         |
|    total_timesteps      | 167936      |
| train/                  |             |
|    approx_kl            | 0.019600667 |
|    clip_fraction        | 0.224       |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.4       |
|    explained_variance   | 0.755       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.492      |
|    n_updates            | 1755        |
|    policy_gradient_loss | -0.0326     |
|    std                  | 3.28        |
|    value_loss           | 0.0725      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.2807112   |
| time/                   |             |
|    fps                  | 1210        |
|    iterations           | 42          |
|    time_elapsed         | 142         |
|    total_timesteps      | 172032      |
| train/                  |             |
|    approx_kl            | 0.021193272 |
|    clip_fraction        | 0.207       |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.5       |
|    explained_variance   | 0.723       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.485      |
|    n_updates            | 1770        |
|    policy_gradient_loss | -0.0312     |
|    std                  | 3.31        |
|    value_loss           | 0.0879      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.321983    |
| time/                   |             |
|    fps                  | 1211        |
|    iterations           | 43          |
|    time_elapsed         | 145         |
|    total_timesteps      | 176128      |
| train/                  |             |
|    approx_kl            | 0.015442745 |
|    clip_fraction        | 0.188       |
|    clip_range           | 0.2         |
|    entropy_loss         | -23.6       |
|    explained_variance   | 0.723       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.474      |
|    n_updates            | 1785        |
|    policy_gradient_loss | -0.0239     |
|    std                  | 3.33        |
|    value_loss           | 0.0961      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1027924   |
| time/                   |             |
|    fps                  | 1210        |
|    iterations           | 44          |
|    time_elapsed         | 148         |
|    total_timesteps      | 180224      |
| train/                  |             |
|    approx_kl            | 0.018268377 |
|    clip_fraction        | 0.204       |
